Symbol  Name     electronegativity 
H	    2.20	
Li	    0.98	same
Be	    1.57	same
B	    2.04	same
C	    2.55	same
N	    3.04	same
O	    3.44	same
F	    3.98	3.98	
Na		0.93	same
Mg		1.31	same
Al		1.61	same
Si		1.90	same
P		2.19	same
S		2.58	same
Cl		3.16	same
K		0.82	same
Ca		1.00	same
Sc		1.36	same
Ti		1.54	same
V		1.63	same
Cr		1.66	same
Mn		1.55	same
Fe		1.83	same
Co		1.88	same
Ni		1.91	same
Cu		1.90	same
Zn		1.65	same
Ga		1.81	same
Ge		2.01	same
As		2.18	same
Se		2.55	same
Br		2.96	same
Kr		3.00	3.00	
Rb		0.82	same
Sr		0.95	same
Y		1.22	same
Zr		1.33	same
Nb		1.6	    same
Mo		2.16	same
Ru		2.2	same
Rh		2.28	same
Pd		2.20	same
Ag		1.93	same
Cd		1.69	same
In		1.78	same
Sn		1.96	same
Sb		2.05	same
Te		2.1	    same
I		2.66	same
Xe		2.6	2.6	2.60	no data
Cs		0.79	same
Ba		0.89	same
La		1.10	same
Ce		1.12	same
Pr		1.13	same
Nd		1.14	same

Sm		1.17	same
Gd		1.20	same
Tb		1.1	same
Dy		1.22	same
Ho		1.23	same
Er		1.24	same
Tm		1.25	same
Yb	(lowest in range)	1.1	same
Yb	(highest in range)	1.2			
Lu		1.27	1.27	1.0	1.0
Hf		1.3	same
Ta		1.5	same
W		2.36	2.36	1.7	1.7
Re		1.9	same
Os		2.2	same
Ir		2.20	2.20	2.2	2.2
Pt		2.28	2.28	2.2	2.2
Au		2.54	2.54	2.4	2.4
Hg		2.00	2.00	1.9	1.9
Tl		1.62	1.62	1.8	1.8
Pb		2.33	2.33	1.8	1.8
Bi		2.02	2.02	1.9	1.9
Po		2.0	same
At		2.2	same
Rn		no data	same
Fr		no data	0.7
Ra		0.9	same
Ac		1.1	same
Th		1.3	same
Pa		1.5	same
U		1.38	1.38	1.7	1.7
Np		1.36	1.36	1.3	1.3
Pu		1.28	1.28	1.3	1.3
Am		1.3	1.3	no data	1.3
Cm		1.3	1.3	no data	1.3
Bk		1.3	1.3	no data	1.3
Cf		1.3	1.3	no data	1.3
Es		1.3	1.3	no data	1.3
Fm		1.3	1.3	no data	1.3
Md		1.3	1.3	no data	1.3
No		1.3	1.3	no data	1.3
